id;start_date;end_date;language
1;2023-02-04T18:19:51;2023-02-04T16:10:06;ENGLISH
2;2023-02-04T03:47:26;2023-02-04T13:12:55;FRENCH
3;2023-02-04T13:43:38;2023-02-04T01:48:46;SPANISH
4;2023-02-04T18:14:27;2023-02-03T23:40:46;FRENCH
5;2023-02-04T20:30:50;2023-02-04T04:49:48;ENGLISH
6;2023-02-04T06:01:33;2023-02-04T20:01:53;SPANISH
7;2023-02-04T14:05:21;2023-02-04T00:39:30;FRENCH
8;2023-02-04T04:31:14;2023-02-04T01:07:03;FRENCH
9;2023-02-04T05:22:52;2023-02-04T16:54:18;FRENCH
10;2023-02-04T01:19:50;2023-02-04T18:17:19;FRENCH
